Species,LON,LAT
bias,130.49375,32.0375
bias,130.49375,32.0375
bias,130.49375,32.0375
bias,130.49375,32.0375
bias,130.49375,32.0375
bias,130.49375,32.045833
bias,130.40625,32.054167
bias,130.40625,32.054167
bias,130.40625,32.054167
bias,130.49375,32.054167
bias,130.50625,32.0125
bias,130.50625,32.0125
bias,130.50625,32.0125
bias,130.58125,32.020833
bias,130.50625,32.0375
bias,130.50625,32.0375
bias,130.50625,32.0375
bias,130.51875,32.0375
bias,130.51875,32.0375
bias,130.50625,32.045833
bias,130.50625,32.045833
bias,130.50625,32.045833
bias,130.50625,32.045833
bias,130.50625,32.045833
bias,130.53125,32.045833
bias,130.53125,32.045833
bias,130.50625,32.054167
bias,130.50625,32.054167
bias,130.50625,32.054167
bias,130.50625,32.054167
bias,130.54375,32.054167
bias,130.51875,32.070833
bias,130.86875,32.054167
bias,130.90625,32.0125
bias,130.40625,32.120833
bias,130.53125,32.129167
bias,130.53125,32.129167
bias,130.53125,32.129167
bias,130.53125,32.129167
bias,130.53125,32.129167
bias,130.53125,32.129167
bias,130.59375,32.145833
bias,130.59375,32.145833
bias,130.59375,32.145833
bias,130.59375,32.1625
bias,130.59375,32.1625
bias,130.59375,32.1625
bias,130.59375,32.1625
bias,130.59375,32.1625
bias,130.88125,32.0875
bias,130.91875,32.120833
bias,130.94375,32.145833
bias,130.94375,32.145833
bias,130.94375,32.145833
bias,130.95625,32.145833
bias,130.95625,32.145833
bias,130.95625,32.145833
bias,130.95625,32.145833
bias,130.95625,32.145833
bias,130.94375,32.154167
bias,130.91875,32.1625
bias,130.93125,32.1625
bias,130.36875,32.170833
bias,130.36875,32.170833
bias,130.36875,32.170833
bias,130.38125,32.179167
bias,130.38125,32.179167
bias,130.38125,32.179167
bias,130.38125,32.179167
bias,130.38125,32.179167
bias,130.40625,32.220833
bias,130.40625,32.220833
bias,130.43125,32.229167
bias,130.43125,32.229167
bias,130.58125,32.170833
bias,130.00625,32.2875
bias,130.45625,32.279167
bias,130.45625,32.279167
bias,130.46875,32.2875
bias,130.46875,32.2875
bias,130.46875,32.2875
bias,130.48125,32.295833
bias,130.48125,32.295833
bias,130.49375,32.304167
bias,130.49375,32.304167
bias,130.46875,32.320833
bias,130.46875,32.320833
bias,130.61875,32.270833
bias,130.63125,32.270833
bias,130.00625,32.395833
bias,130.00625,32.395833
bias,130.09375,32.395833
bias,130.09375,32.395833
bias,130.09375,32.395833
bias,130.09375,32.395833
bias,130.21875,32.395833
bias,130.34375,32.354167
bias,130.78125,32.370833
bias,130.00625,32.420833
bias,130.00625,32.420833
bias,130.05625,32.4875
bias,130.05625,32.4875
bias,130.16875,32.445833
bias,130.16875,32.445833
bias,130.34375,32.479167
bias,130.40625,32.470833
bias,130.43125,32.470833
bias,130.43125,32.470833
