Species,Longitude,Latitude
CEOR,-72.112,41.379
CEOR,-72.85029,42.341698
CEOR,-72.655085,42.203572
CEOR,-72.646205,42.223781
CEOR,-71.5624,41.2042
CEOR,-70.324444,41.363611
CEOR,-72.0511,41.4236
CEOR,-72.0484,41.423
CEOR,-72.0539,41.4232
CEOR,-72.0524,41.4239
CEOR,-72.016,41.4831
CEOR,-72.0174,41.4859
CEOR,-72.0142,41.4866
CEOR,-72.1171,41.3919
CEOR,-72.1183,41.389
CEOR,-72.1117,41.3844
CEOR,-72.0985,41.3911
CEOR,-72.1026,41.3884
CEOR,-72.1002,41.3825
CEOR,-71.61219,42.51233
CEOR,-72.17722,41.76347
CEOR,-71.663,41.36733
CEOR,-71.83833,41.331
CEOR,-71.83866,41.33083
CEOR,-72.8667,42.2706
CEOR,-72.878712,41.429264
CEOR,-72.7667,41.3972
CEOR,-72.7667,41.3972
CEOR,-72.874546,41.441764
CEOR,-72.837044,41.425097
CEOR,-72.143,41.6199
CEOR,-72.136744,41.626765
CEOR,-73.47934,41.683747
CEOR,-72.5208,41.493546
CEOR,-72.517244,41.491544
CEOR,-72.520436,41.49296
CEOR,-72.515919,41.49113
CEOR,-70.6013,41.392
CEOR,-70.6037,41.4011
CEOR,-71.980158,43.403641
CEOR,-72.000529,43.418725
CEOR,-72.281313,41.725549
CEOR,-72.320934,41.698013
CEOR,-72.310364,41.678902
CEOR,-70.176298,44.119145
CEOR,-73.291306,41.80147
CEOR,-72.79425,41.75413
CEOR,-71.1987,41.59448
CEOR,-71.317,42.108154
CEOR,-72.244431,42.058718
CEOR,-73.16465,41.45892
CEOR,-71.463417,41.39683
CEOR,-70.61,41.3853
CEOR,-70.5317,41.3823
CEOR,-73.2068,41.4246
CEOR,-73.2066,41.4262
CEOR,-73.332222,41.688244
CEOR,-72.808987,41.724266
CEOR,-72.078107,41.774802
CEOR,-72.237651,41.794693
CEOR,-71.390596,42.399864
CEOR,-72.318356,42.4956
CEOR,-70.547917,43.335417
CEOR,-72.432967,43.087967
CEOR,-70.547067,43.3325
CEOR,-72.326194,42.298147
CEOR,-72.972183,41.890806
CEOR,-72.972783,41.890533
CEOR,-71.3503,42.5508
CEOR,-70.7625,43.0718
CEOR,-71.35383,42.55648
CEOR,-71.35596,42.55949
CEOR,-71.35754,42.55888
CEOR,-70.8726,43.041
CEOR,-71.35895,42.55987
CEOR,-71.35086,42.5581
CEOR,-71.34734,42.55921
CEOR,-71.34565,42.55514
CEOR,-72.024333,42.432556
CEOR,-72.068528,42.419917
CEOR,-73.421944,42.278056
CEOR,-73.3579,42.1956
CEOR,-73.3579,42.1956
CEOR,-73.3579,42.1956
CEOR,-73.365806,42.158806
CEOR,-73.367917,42.167944
CEOR,-73.291972,42.204083
CEOR,-71.33874,42.558
CEOR,-72.22749,42.421865
CEOR,-72.6251,42.1531
CEOR,-72.6251,42.1538
CEOR,-73.2283,41.2167
CEOR,-70.274556,43.758722
CEOR,-70.271778,43.820528
CEOR,-70.271778,43.820528
CEOR,-70.357278,43.793472
CEOR,-70.356917,43.793139
CEOR,-70.352806,43.794722
CEOR,-70.367361,43.791389
CEOR,-70.3535,43.793194
CEOR,-70.327361,43.765556
CEOR,-70.326083,43.766028
CEOR,-71.34592,42.55656
CEOR,-71.5375,41.856944
CEOR,-71.533056,41.820833
CEOR,-71.5325,41.817222
CEOR,-71.447222,41.989722
CEOR,-71.445556,41.983611
CEOR,-71.443333,41.969167
CEOR,-71.35396,42.55503
CEOR,-71.35233,42.55947
CEOR,-71.153478,42.38125
CEOR,-72.117222,42.481028
CEOR,-71.64875,42.61405
CEOR,-72.623527,43.207586
CEOR,-72.10525,42.414833
CEOR,-72.60484,41.68203
CEOR,-72.60597,41.68093
CEOR,-72.60584,41.67968
CEOR,-70.606997,43.186754
CEOR,-71.303889,41.702222
CEOR,-71.2925,41.797222
CEOR,-71.511453,42.355094
CEOR,-71.516453,42.358427
CEOR,-71.511453,42.355094
CEOR,-71.507564,42.322594
CEOR,-71.515342,42.254262
CEOR,-71.515342,42.254262
CEOR,-71.515342,42.254262
CEOR,-71.515342,42.254262
CEOR,-71.2704,42.2466
CEOR,-71.2704,42.2466
CEOR,-72.489722,41.851111
CEOR,-71.61948,42.2931
CEOR,-71.62135,42.29432
CEOR,-71.63095,42.29259
CEOR,-71.63295,42.29955
CEOR,-71.3203,42.2361
CEOR,-71.3203,42.2361
CEOR,-71.3203,42.2361
CEOR,-71.361944,42.394722
CEOR,-71.62634,42.2915
CEOR,-72.129444,42.523778
CEOR,-72.124333,42.487222
CEOR,-70.06742,42.03625
CEOR,-70.04789,42.00517
CEOR,-70.688799,43.272786
CEOR,-72.685092,42.105927
CEOR,-72.683425,42.106483
CEOR,-72.679814,42.098427
CEOR,-72.673425,42.092038
CEOR,-70.175278,43.798611
CEOR,-70.174722,43.798889
CEOR,-70.70911,43.348964
CEOR,-70.190278,43.806944
CEOR,-70.187778,43.804444
CEOR,-73.232233,41.215173
CEOR,-73.232783,41.216083
CEOR,-70.4143,43.9758
CEOR,-71.093611,42.213611
CEOR,-71.096111,42.209167
CEOR,-71.185888,42.434818
CEOR,-71.178944,42.440373
CEOR,-71.178666,42.43954
CEOR,-72.141747,42.525922
CEOR,-70.856067,42.495783
CEOR,-68.5739,44.255
CEOR,-71.1187,42.3758
CEOR,-71.1187,42.3758
CEOR,-69.9696,41.6444
CEOR,-69.9685,41.69605
CEOR,-70.9625,41.6014
CEOR,-70.9306,41.5403
CEOR,-70.9042,41.6375
CEOR,-71.0069,41.5722
CEOR,-70.9839,41.5289
CEOR,-72.616,41.6246
CEOR,-73.243611,42.301111
CEOR,-73.371389,42.35
CEOR,-73.2107,42.2437
CEOR,-73.2107,42.2437
CEOR,-70.126944,43.865556
CEOR,-72.39249,41.79719
CEOR,-71.42425,41.491283
CEOR,-71.4253,41.49325
CEOR,-71.490667,41.379833
CEOR,-71.477,41.384833
CEOR,-71.470167,41.393
CEOR,-72.095,41.3297
CEOR,-72.095,41.3297
CEOR,-72.095,41.3297
